Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
MSP;4.131.009;7.529;90.757;853.347;916.537;855.951;390.853;218.841;246.732;189.149;146.485;61.560;80.233;73.035
Água Rasa;30.048;22;486;5.408;8.009;11.369;2.158;939;742;337;144;49;27;358
Alto de Pinheiros;25.760;49;368;3.758;5.582;5.442;2.718;1.576;1.597;1.434;1.418;583;843;392
Anhanguera;6.581;5;89;872;1.527;1.949;1.100;389;242;152;63;23;27;143
Aricanduva;21.810;30;394;6.884;6.940;4.233;1.543;577;499;217;78;19;8;388
Artur Alvim;11.463;12;314;3.211;2.981;2.566;1.322;467;214;122;32;7;11;204
Barra Funda;85.799;99;2.428;17.534;15.981;17.464;8.329;5.157;5.698;4.669;3.693;1.405;1.416;1.926
Bela Vista;137.074;112;1.886;19.512;22.455;30.020;14.835;10.350;12.028;9.343;7.158;2.823;4.380;2.172
Belém;48.663;103;2.353;14.179;11.139;9.239;3.876;2.135;2.265;1.306;650;204;208;1.006
Bom Retiro;53.472;58;1.113;13.360;15.488;10.905;4.680;2.173;1.879;1.199;650;240;439;1.288
Brás;52.405;113;2.094;15.720;14.209;8.959;3.696;1.932;2.153;1.383;657;207;149;1.133
Brasilândia;11.437;7;189;3.679;3.354;2.820;630;231;183;123;49;15;16;141
Butantã;53.626;60;618;7.426;10.056;10.812;4.113;3.023;4.026;3.771;4.143;2.013;2.504;1.061
Cachoeirinha;13.510;16;242;4.052;3.951;2.338;793;360;385;297;479;210;199;188
Cambuci;37.454;64;472;10.565;8.825;7.630;3.429;2.077;1.745;1.044;548;194;179;682
Campo Belo;69.367;197;1.049;13.406;14.817;11.984;5.227;3.221;6.863;4.994;2.668;1.222;1.965;1.754
Campo Grande;66.517;117;2.407;13.687;13.569;12.545;6.067;3.308;3.767;3.825;3.147;1.107;1.342;1.629
Campo Limpo;20.578;18;364;5.054;6.566;5.245;1.748;586;405;203;94;33;42;220
Cangaíba;11.465;14;156;3.265;3.893;2.561;733;276;219;108;53;24;36;127
Capão Redondo;22.315;53;397;5.507;6.721;5.586;2.141;609;415;305;138;35;34;374
Carrão;26.578;39;662;8.508;7.089;5.319;1.943;934;884;499;225;57;43;376
Casa Verde;28.168;30;471;5.724;7.538;5.815;2.537;1.403;1.722;1.040;745;294;285;564
Cidade Ademar;21.241;26;256;5.697;6.836;4.978;1.480;636;556;231;111;24;23;387
Cidade Dutra;30.969;46;668;9.230;8.562;5.840;2.463;982;1.107;668;576;148;236;443
Cidade Líder;18.033;25;626;4.614;5.568;3.843;1.317;559;512;365;218;70;66;250
Cidade Tiradentes;8.152;6;148;2.361;2.068;1.759;850;253;261;213;83;45;27;78
Consolação;93.876;279;1.622;13.251;15.543;18.826;12.688;5.965;7.536;6.816;4.287;2.223;2.540;2.300
Cursino;23.086;69;714;5.056;6.206;4.940;2.082;1.070;1.031;540;397;179;186;616
Ermelino Matarazzo;13.744;14;267;3.732;3.917;2.702;974;566;629;289;331;93;37;193
Freguesia do Ó;29.148;104;757;6.346;8.963;6.560;2.330;1.219;999;555;558;132;130;495
Grajaú;21.031;34;626;7.285;5.814;3.903;2.012;403;328;147;90;34;41;314
Guaianases;7.143;9;160;2.445;2.045;1.674;350;161;117;61;29;7;15;70
Iguatemi;7.080;3;136;2.027;2.201;1.753;503;203;109;30;13;7;3;92
Ipiranga;61.445;103;1.308;16.753;15.598;12.781;5.961;2.902;2.611;1.445;667;191;199;926
Itaim Bibi;327.264;562;5.329;41.968;48.903;61.107;31.157;20.816;27.778;27.622;25.078;11.693;20.082;5.169
Itaim Paulista;21.205;47;483;5.283;6.557;4.376;2.085;879;336;191;103;42;34;789
Itaquera;29.409;22;545;6.348;8.816;5.804;2.213;975;1.675;886;1.061;305;353;406
Jabaquara;64.597;231;1.557;13.903;13.906;12.424;5.470;2.949;4.294;4.218;2.764;1.115;783;983
Jaçanã;14.603;12;352;3.072;4.736;3.325;1.362;554;519;257;112;35;28;239
Jaguara;24.002;26;229;2.315;3.935;5.792;3.082;2.303;1.686;1.385;1.210;628;642;769
Jaguaré;35.609;38;732;6.034;7.646;9.883;3.652;2.016;1.576;1.132;888;483;718;811
Jaraguá;18.046;30;297;3.649;4.275;4.822;1.672;763;743;479;560;202;288;266
Jardim Ângela;15.127;17;237;4.284;4.332;3.319;1.325;558;333;198;113;59;68;284
Jardim Helena;6.967;12;194;1.991;2.190;1.380;390;188;207;129;89;32;73;92
Jardim Paulista;152.491;250;2.305;15.871;23.219;32.005;16.522;11.716;16.303;13.162;10.016;4.600;4.479;2.043
Jardim São Luís;37.914;54;600;7.918;9.250;7.281;3.518;1.539;2.188;1.812;1.504;719;805;726
José Bonifácio;11.468;7;307;2.333;3.601;3.038;929;401;420;162;80;15;12;163
Lajeado;9.701;5;190;2.912;2.928;2.531;492;198;146;102;70;30;9;88
Lapa;111.249;158;2.724;27.021;24.758;24.181;9.505;5.222;5.363;3.707;3.093;1.277;1.398;2.842
Liberdade;50.715;55;1.435;7.898;9.642;9.746;6.910;3.728;4.246;2.974;1.799;522;586;1.174
Limão;24.908;28;523;4.299;6.770;5.970;2.873;1.484;1.256;656;368;120;125;436
Mandaqui;17.211;32;462;3.942;4.804;4.505;1.363;648;712;291;156;49;74;173
Marsilac;117;0;4;30;32;24;14;9;2;1;0;0;0;1
Moema;90.060;136;1.538;16.465;19.457;19.088;10.338;5.744;6.011;4.569;3.011;1.089;1.207;1.407
Moóca;62.236;99;1.745;15.512;14.585;13.671;6.343;3.196;2.822;1.774;1.066;310;233;880
Morumbi;50.537;108;734;5.564;8.987;8.790;5.570;4.100;4.872;4.374;3.213;1.503;2.162;560
Parelheiros;6.798;11;304;1.829;2.082;1.466;417;198;156;71;60;22;42;140
Pari;25.580;40;283;5.712;7.215;4.437;2.102;1.273;1.214;962;1.483;346;135;378
Parque do Carmo;18.054;16;827;5.628;3.243;3.757;1.985;568;721;438;251;84;68;468
Pedreira;8.519;5;159;1.965;2.140;2.659;803;271;184;106;55;24;20;128
Penha;39.636;54;837;10.952;10.312;9.379;3.594;1.550;1.131;544;282;80;133;788
Perdizes;47.896;79;695;7.480;9.977;10.080;5.556;3.343;4.438;2.707;1.360;608;559;1.014
Perus;5.280;1;68;1.836;1.546;1.224;333;97;67;27;13;3;4;61
Pinheiros;123.935;257;2.480;19.176;23.073;22.098;12.842;8.266;10.276;8.786;6.989;2.978;4.413;2.301
Pirituba;22.318;23;592;5.966;6.942;4.903;1.666;681;663;272;162;41;66;341
Ponte Rasa;9.474;10;239;3.049;2.873;2.114;550;205;160;86;35;12;17;124
Raposo Tavares;16.328;14;278;2.898;4.425;4.305;1.417;977;732;476;289;113;134;270
República;144.594;272;9.025;36.416;31.131;30.169;12.399;6.138;6.448;4.531;3.091;1.162;1.345;2.467
Rio Pequeno;16.337;20;287;4.088;4.367;3.489;1.400;727;725;494;291;109;110;230
Sacomã;35.714;45;494;6.018;9.900;7.917;5.087;1.904;1.604;917;696;256;197;679
Santana;73.061;90;1.886;18.912;19.561;15.023;6.247;3.023;3.221;1.734;1.079;517;579;1.189
Santo Amaro;156.554;223;3.921;26.968;26.279;23.896;13.156;9.477;12.018;11.940;11.768;5.709;8.375;2.824
São Domingos;26.593;31;360;4.645;7.549;5.825;2.537;1.558;1.272;879;851;369;346;371
São Lucas;18.312;22;201;4.450;6.112;3.995;1.556;596;567;244;136;49;66;318
São Mateus;23.324;33;410;6.057;6.862;5.214;1.992;872;903;442;145;67;57;270
São Miguel ;15.327;38;323;5.302;4.302;2.852;1.011;526;393;232;97;22;26;203
São Rafael;7.754;6;141;2.135;2.349;1.661;615;225;216;132;112;54;24;84
Sapopemba;27.262;16;399;8.609;8.019;6.010;1.831;788;753;267;237;65;29;239
Sapopemba;27.262;16;399;8.609;8.019;6.010;1.831;788;753;267;237;65;29;239
Saúde;82.579;211;1.476;22.521;18.738;16.670;6.834;3.604;3.799;2.694;2.472;965;938;1.657
Sé;91.459;129;2.446;21.392;18.324;13.853;7.978;5.240;8.073;5.853;3.967;1.392;1.600;1.212
Socorro;33.842;23;334;4.854;7.851;9.547;3.240;1.874;1.619;1.179;1.267;663;714;677
Tatuapé;72.749;132;2.447;20.465;17.779;15.819;5.881;2.972;2.900;1.698;941;278;216;1.221
Tremembé;21.837;42;327;3.819;4.721;6.241;3.026;1.795;677;236;112;59;82;700
Tucuruvi;22.541;52;493;6.888;6.853;4.307;1.610;783;724;323;157;37;38;276
Vila Andrade;28.722;35;654;6.520;7.700;5.621;2.725;1.429;1.395;880;629;287;249;598
Vila Curuçá;9.217;14;357;3.005;3.122;1.872;495;128;81;26;12;4;1;100
Vila Formosa;32.873;844;751;11.652;8.424;5.903;2.389;1.034;860;344;163;49;31;429
Vila Guilherme;45.922;118;1.161;10.494;11.064;12.451;4.028;2.111;1.760;809;529;187;252;958
Vila Jacuí;10.905;12;257;3.106;2.901;2.382;862;388;309;202;180;73;79;154
Vila Leopoldina;62.215;193;1.346;11.110;11.735;12.531;6.563;4.193;4.607;3.622;3.038;1.158;1.195;924
Vila Maria;51.006;90;786;9.667;12.792;12.644;6.250;2.889;2.351;1.188;788;318;319;924
Vila Mariana;158.824;219;1.904;26.266;29.981;29.953;18.669;10.712;12.984;10.104;7.851;3.085;4.145;2.951
Vila Matilde;26.005;59;473;6.610;7.226;4.777;1.962;1.027;1.244;829;629;298;540;331
Vila Medeiros;17.038;23;414;5.936;4.219;3.501;1.089;529;485;282;183;44;59;274
Vila Prudente;29.493;33;722;6.955;8.125;6.943;2.595;1.244;1.176;691;344;110;126;429
Vila Sônia;35.030;41;520;7.751;9.981;7.982;3.174;1.454;1.484;861;695;288;319;480
