Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
MSP;4.168.670;9.926;101.994;846.607;921.975;865.062;395.767;224.145;250.408;193.118;148.911;64.566;81.906;64.285
Água Rasa;32.049;58;552;6.539;8.185;12.129;2.051;848;708;317;140;51;29;442
Alto de Pinheiros;24.200;47;422;4.219;5.390;5.128;2.552;1.499;1.513;1.303;914;389;487;337
Anhanguera;7.573;8;114;964;2.014;1.905;1.105;571;369;218;78;32;30;165
Aricanduva;21.424;36;605;6.168;7.238;4.248;1.537;541;467;187;69;10;12;306
Artur Alvim;14.080;54;449;2.871;2.968;2.547;1.458;870;795;759;590;191;282;246
Barra Funda;76.960;98;1.708;13.891;14.585;13.808;8.099;5.220;6.470;4.747;3.874;1.537;1.661;1.262
Bela Vista;128.907;118;2.160;16.731;18.832;28.712;14.393;10.061;12.139;9.685;7.069;2.801;4.298;1.908
Belém;56.564;116;2.729;19.924;12.861;9.360;3.568;2.237;2.227;1.439;799;239;297;768
Bom Retiro;52.996;184;712;13.084;14.492;13.100;4.371;1.962;1.788;1.148;583;212;427;933
Brás;51.280;78;2.245;15.405;13.969;8.492;3.461;1.924;2.163;1.534;677;241;170;921
Brasilândia;10.675;36;189;3.294;3.280;2.860;507;199;109;54;19;4;3;121
Butantã;52.415;84;706;7.090;9.421;11.605;3.668;2.687;3.594;3.593;3.956;1.947;2.430;1.634
Cachoeirinha;13.505;51;469;3.665;4.041;2.523;696;343;334;301;441;232;223;186
Cambuci;39.894;63;399;9.385;8.735;7.107;3.153;2.029;2.390;2.064;2.172;1.236;582;579
Campo Belo;59.492;132;1.223;12.353;13.512;11.579;4.831;2.880;4.478;3.226;1.854;1.066;1.234;1.124
Campo Grande;62.979;108;2.100;13.507;14.208;12.361;5.728;2.986;3.355;3.237;2.203;811;975;1.400
Campo Limpo;23.057;26;428;5.703;6.850;5.692;1.700;1.255;644;325;136;28;44;226
Cangaíba;10.359;25;168;2.817;3.679;2.324;655;237;182;69;41;17;20;125
Capão Redondo;19.737;52;493;4.741;5.866;4.813;1.800;686;443;255;101;24;24;439
Carrão;26.873;99;1.181;8.478;7.229;5.401;1.884;887;781;338;169;47;47;332
Casa Verde;32.735;64;538;5.803;9.020;6.757;3.248;1.575;1.881;1.521;978;447;306;597
Cidade Ademar;21.248;33;286;5.579;6.894;5.142;1.462;667;534;213;97;20;25;296
Cidade Dutra;29.526;55;1.171;9.855;8.323;5.481;1.626;834;796;416;374;99;81;415
Cidade Líder;19.943;61;690;5.310;5.488;4.197;1.579;672;682;484;315;104;124;237
Cidade Tiradentes;7.081;31;178;2.094;1.725;1.733;628;119;217;133;79;43;28;73
Consolação;98.144;239;1.898;13.567;14.576;18.740;12.383;6.292;7.427;7.084;6.144;3.633;4.149;2.012
Cursino;21.140;78;558;4.304;5.754;4.611;1.957;1.021;1.011;541;428;179;239;459
Ermelino Matarazzo;12.534;21;247;3.052;3.691;2.690;892;494;556;298;310;93;26;164
Freguesia do Ó;27.308;73;776;5.558;8.333;6.196;2.219;1.144;1.007;613;742;147;138;362
Grajaú;17.782;57;422;4.828;5.321;3.926;1.911;331;261;132;58;39;39;457
Guaianases;7.437;8;180;2.336;2.159;1.848;400;158;143;52;37;17;14;85
Iguatemi;6.806;19;132;1.979;2.251;1.709;372;134;85;23;12;3;2;85
Ipiranga;71.007;96;1.373;15.603;15.510;12.507;5.950;4.080;5.786;4.097;3.072;1.064;1.004;865
Itaim Bibi;323.463;727;5.008;38.388;47.283;61.630;33.203;21.128;28.220;28.056;24.172;11.562;19.835;4.251
Itaim Paulista;23.148;40;517;5.510;8.060;4.760;1.953;904;384;187;112;39;26;656
Itaquera;25.687;203;1.761;7.321;6.773;4.671;1.570;776;886;587;521;170;147;301
Jabaquara;64.755;242;1.445;14.070;14.762;12.030;6.235;2.870;3.782;3.999;2.531;1.008;749;1.032
Jaçanã;14.994;24;350;3.301;5.050;3.343;1.501;534;416;138;66;28;31;212
Jaguara;21.362;69;289;2.132;3.788;5.586;2.528;2.158;1.305;979;996;539;524;469
Jaguaré;48.370;67;1.033;10.702;10.080;12.838;4.196;2.401;1.992;1.297;1.002;517;844;1.401
Jaraguá;17.493;36;307;3.277;4.367;4.981;1.743;662;608;402;445;210;220;235
Jardim Ângela;14.959;26;291;3.892;4.507;3.388;1.203;604;377;221;103;52;50;245
Jardim Helena;6.662;18;140;1.880;1.902;1.320;387;182;214;164;133;60;169;93
Jardim Paulista;128.523;259;2.268;14.831;21.809;29.732;18.355;9.431;11.022;8.421;5.552;2.413;2.874;1.556
Jardim São Luís;44.460;84;818;9.147;9.913;8.110;3.928;2.019;2.858;2.953;2.095;911;907;717
José Bonifácio;11.512;25;258;2.243;3.794;2.962;968;416;399;194;76;11;10;156
Lajeado;11.710;26;247;3.125;3.213;2.816;781;408;343;272;189;60;68;162
Lapa;113.449;220;2.895;29.461;24.568;24.058;9.653;5.166;5.363;3.764;3.087;1.355;1.555;2.304
Liberdade;50.454;67;1.480;6.921;9.470;9.767;6.782;4.079;4.651;3.350;1.700;544;631;1.012
Limão;22.523;50;417;3.504;5.915;5.855;2.641;1.306;1.224;634;324;118;139;396
Mandaqui;16.592;39;487;3.491;4.826;4.804;1.317;589;483;198;92;43;64;159
Marsilac;209;0;18;68;33;55;17;8;5;1;0;0;0;4
Moema;89.154;171;1.661;17.304;19.401;19.567;10.328;5.676;5.588;3.933;2.544;919;907;1.155
Moóca;59.618;113;1.383;12.273;14.684;13.957;6.508;3.395;3.143;1.709;1.052;341;255;805
Morumbi;50.626;87;696;7.015;9.553;8.685;5.971;4.154;4.596;3.841;2.598;1.229;1.729;472
Parelheiros;7.602;19;309;1.809;2.188;1.761;588;302;222;105;62;27;64;146
Pari;26.470;60;401;5.862;7.445;4.582;1.988;1.338;1.104;1.013;1.587;571;181;338
Parque do Carmo;26.190;36;653;5.110;5.939;5.958;3.294;913;1.614;867;775;255;337;439
Pedreira;8.650;10;143;1.883;2.390;2.651;855;231;180;115;68;10;16;98
Penha;35.344;70;1.006;8.406;9.299;7.565;3.426;1.746;1.299;889;554;196;384;504
Perdizes;43.067;70;722;6.603;9.183;9.394;5.200;3.170;3.773;2.552;1.025;423;322;630
Perus;4.681;12;86;1.444;1.471;1.095;314;90;58;23;14;1;3;70
Pinheiros;133.051;356;2.782;18.125;24.122;24.229;13.619;9.255;12.154;10.038;7.915;3.480;5.003;1.973
Pirituba;22.320;48;630;5.503;7.033;4.755;1.647;765;664;480;287;109;93;306
Ponte Rasa;9.297;202;286;2.863;2.959;1.808;505;184;146;50;16;5;3;270
Raposo Tavares;14.417;17;186;2.437;4.022;3.925;1.419;896;616;322;209;46;101;221
República;140.192;721;10.504;35.652;27.790;29.554;11.218;5.685;5.893;4.298;3.693;1.454;1.553;2.177
Rio Pequeno;14.938;14;286;3.798;4.231;3.419;1.250;615;518;298;205;46;47;211
Sacomã;37.119;78;603;5.727;10.610;8.642;5.294;1.823;1.749;1.031;698;178;139;547
Santana;76.096;205;3.240;20.008;18.159;16.913;6.222;3.087;3.129;1.823;1.156;501;480;1.173
Santo Amaro;156.611;351;4.394;24.998;27.689;24.451;13.303;9.289;12.433;11.935;11.612;5.807;7.962;2.387
São Domingos;25.412;54;423;4.541;6.748;6.053;2.288;1.550;1.078;775;796;398;332;376
São Lucas;19.239;47;219;4.741;6.665;4.223;1.454;616;516;231;131;44;52;300
São Mateus;24.019;76;472;5.937;7.662;5.261;1.987;788;882;461;140;43;35;275
São Miguel ;15.807;72;471;5.308;4.747;2.789;985;442;418;213;99;21;20;222
São Rafael;7.428;9;158;1.982;2.285;1.593;599;176;221;125;138;47;37;58
Sapopemba;21.219;19;317;4.971;6.967;4.968;1.632;515;731;386;399;85;27;202
Sapopemba;21.219;19;317;4.971;6.967;4.968;1.632;515;731;386;399;85;27;202
Saúde;78.190;255;2.358;19.423;17.900;15.519;6.930;3.650;3.747;2.870;2.318;899;876;1.445
Sé;92.408;148;2.497;20.037;20.154;14.125;7.750;5.393;7.747;6.240;4.084;1.453;1.750;1.030
Socorro;34.398;39;301;4.360;9.343;7.205;4.082;1.999;1.907;1.304;1.708;715;827;608
Tatuapé;81.813;198;2.409;22.687;18.740;15.584;7.202;4.257;4.321;2.700;1.586;547;470;1.112
Tremembé;20.612;24;383;3.320;4.398;5.906;2.979;2.070;867;235;108;51;68;203
Tucuruvi;22.224;91;838;6.441;6.720;4.259;1.572;773;749;334;145;32;24;246
Vila Andrade;27.118;22;668;5.312;7.586;5.843;2.594;1.436;1.315;802;537;254;248;501
Vila Curuçá;8.335;41;240;2.506;3.030;1.781;430;111;68;14;10;2;1;101
Vila Formosa;46.330;498;1.375;11.496;7.927;8.389;4.281;2.779;2.895;2.150;1.776;949;1.269;546
Vila Guilherme;45.555;146;985;11.299;10.305;13.095;3.892;1.688;1.510;854;540;157;225;859
Vila Jacuí;12.201;10;438;3.298;3.311;2.693;934;384;337;248;241;79;77;151
Vila Leopoldina;66.278;110;1.856;13.200;12.325;12.977;6.625;4.329;5.176;3.431;3.052;1.064;1.303;830
Vila Maria;52.722;130;836;9.683;13.384;12.535;6.329;3.308;2.874;1.453;796;302;276;816
Vila Mariana;157.291;284;2.420;26.232;30.261;29.259;17.332;11.118;12.679;9.849;7.745;3.299;4.156;2.657
Vila Matilde;35.009;51;629;11.670;9.752;7.026;1.922;917;1.044;605;414;195;395;389
Vila Medeiros;18.098;31;566;7.337;4.275;3.328;1.120;448;376;177;139;29;45;227
Vila Prudente;32.997;157;981;8.752;8.528;7.713;2.700;1.314;1.179;667;365;98;95;448
Vila Sônia;33.753;56;639;8.102;8.894;7.702;3.039;1.487;1.394;833;624;288;255;440
