Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;Ignorado
Penha;43.252;66;826;12.004;11.252;10.162;3.816;1.978;1.332;651;315;114;133;603
Perdizes;50.253;72;746;7.059;10.324;11.189;5.445;3.703;4.576;3.149;1.538;812;712;928
Perus;5.214;3;68;1.532;1.760;1.105;400;137;98;38;18;2;4;49
Pinheiros;132.722;169;2.941;20.813;23.090;23.482;13.011;9.058;10.978;9.836;7.894;3.427;5.872;2.151
Pirituba;24.549;33;453;5.433;7.294;6.000;2.119;922;930;519;314;92;96;344
Ponte Rasa;9.569;22;220;2.685;3.153;2.147;672;230;182;69;40;22;26;101
Raposo Tavares;17.098;6;314;2.817;4.595;4.460;1.623;1.059;882;531;287;117;129;278
República;164.452;231;9.670;41.136;34.271;35.881;13.963;7.122;7.536;5.201;3.952;1.497;1.778;2.214
Rio Pequeno;18.554;17;281;3.952;5.416;4.164;1.695;901;814;487;312;104;90;321
Sacomã;41.467;29;384;5.914;11.537;9.432;6.001;2.528;2.151;1.267;904;373;316;631
Santa Cecília;69.703;86;897;11.072;12.447;20.515;7.909;4.503;4.785;2.963;1.989;812;845;880
Santana;82.838;97;2.108;20.474;20.227;20.065;6.780;3.580;3.488;2.111;1.302;619;714;1.273
Santo Amaro;164.572;237;3.766;27.210;29.214;26.379;14.162;10.194;12.388;11.783;11.883;6.003;8.840;2.513
São Domingos;24.737;16;279;3.454;7.016;5.926;2.464;1.595;1.419;842;720;317;317;372
São Lucas;20.081;15;146;4.757;6.045;5.099;1.727;766;666;303;158;62;67;270
São Mateus;26.203;28;504;5.829;7.927;5.949;2.300;1.159;1.264;510;243;96;89;305
São Miguel ;16.644;32;280;5.262;4.850;2.781;1.102;693;720;433;202;52;46;191
São Rafael;6.898;7;159;2.310;2.271;1.467;385;121;86;14;6;4;1;67
Sapopemba;26.653;43;392;7.539;7.618;5.936;2.317;769;955;275;292;96;52;369
Saúde;85.946;201;1.503;19.847;18.902;19.309;8.055;4.247;4.742;3.175;2.356;882;1.036;1.691
Sé;101.760;194;3.202;21.790;20.073;15.164;8.713;5.891;8.441;7.328;5.363;2.228;2.212;1.161
Socorro;34.610;22;302;4.228;8.142;8.175;3.823;2.299;2.173;1.590;1.450;879;908;619
Tatuapé;78.035;136;1.946;19.313;18.799;20.075;6.344;3.442;3.225;1.827;1.086;346;291;1.205
Tremembé;25.162;56;348;4.454;5.403;7.179;2.936;2.330;992;343;238;94;108;681
Tucuruvi;22.606;46;569;6.054;6.861;4.762;1.812;862;748;373;166;53;48;252
Vila Andrade;30.990;52;656;6.227;7.492;6.940;2.907;1.676;1.671;1.137;919;424;496;393
Vila Curuçá;8.743;11;260;2.682;3.357;1.596;439;148;109;35;13;2;3;88
Vila Formosa;36.524;434;1.267;11.968;9.766;6.255;2.650;1.358;1.103;547;243;57;53;823
Vila Guilherme;45.009;99;1.092;10.066;10.464;10.301;4.691;2.466;2.479;1.209;761;306;395;680
Vila Jacuí;10.654;16;186;2.299;3.088;2.902;752;399;368;194;142;72;93;143
Vila Leopoldina;66.174;204;833;9.505;12.872;12.894;6.562;4.345;5.311;4.444;4.135;1.944;2.378;747
Vila Maria;57.538;123;778;9.158;14.055;15.061;7.260;3.743;2.918;1.592;986;354;352;1.158
Vila Mariana;181.033;195;2.637;29.881;33.921;38.354;20.277;11.652;14.074;10.711;8.198;3.547;4.542;3.044
Vila Matilde;23.982;47;376;5.462;6.196;4.779;1.879;1.207;1.327;856;637;283;560;373
Vila Medeiros;19.017;38;487;5.980;4.770;4.130;1.429;609;580;318;213;75;74;314
Vila Prudente;33.365;41;762;7.753;8.844;7.835;3.193;1.428;1.540;820;387;120;176;466
Vila Sônia;34.527;31;573;6.455;10.022;7.859;3.249;1.705;1.691;983;750;338;370;501
