Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
Pedreira;9.284;18;134;1.962;2.728;2.247;860;233;177;88;57;9;10;761
Penha;32.492;74;1.038;8.103;9.495;6.309;2.369;1.148;1.206;688;312;107;134;1.509
Perdizes;45.631;61;713;6.529;8.922;10.864;4.958;3.186;3.872;2.661;1.205;583;484;1.593
Perus;6.450;16;190;1.633;2.130;1.440;425;146;93;40;16;4;4;313
Pinheiros;151.534;369;2.880;18.010;24.241;26.497;14.593;9.905;13.795;11.491;9.301;3.935;5.404;11.113
Pirituba;20.522;54;618;5.220;6.489;4.603;1.418;621;509;198;88;27;18;659
Ponte Rasa;13.132;231;341;3.045;3.116;3.117;1.423;1.083;215;61;15;13;3;469
Raposo Tavares;13.744;15;211;2.358;3.723;3.518;1.417;779;599;345;147;50;87;495
República;133.538;471;11.222;34.185;25.454;27.277;9.928;5.393;5.746;4.083;2.769;781;1.048;5.181
Rio Pequeno;15.385;22;254;3.861;4.392;3.149;1.175;606;528;366;184;53;47;748
Sacomã;38.516;97;695;5.677;9.909;8.390;5.176;1.797;1.841;1.285;923;333;401;1.992
Santa Cecília;73.843;130;1.224;14.564;13.211;18.953;7.702;4.271;4.849;2.986;1.847;722;696;2.688
Santana;81.690;264;3.365;21.561;21.585;17.206;5.945;2.908;2.870;1.497;745;185;196;3.363
Santo Amaro;186.197;536;4.674;31.189;29.843;27.138;15.373;10.656;14.820;15.289;14.000;6.630;9.086;6.963
São Domingos;25.621;60;506;5.137;5.942;5.305;2.058;1.471;1.098;796;737;375;301;1.835
São Lucas;19.395;39;274;4.728;6.497;4.082;1.461;653;492;256;162;31;58;662
São Mateus;25.062;107;766;6.917;7.324;5.101;1.806;767;908;318;135;43;33;837
São Miguel ;15.028;64;519;4.472;4.560;2.824;967;433;421;216;102;17;20;413
São Rafael;7.718;7;140;2.047;2.192;1.667;591;154;224;122;132;64;21;357
Sapopemba;21.496;25;322;4.806;6.884;5.049;1.673;513;762;487;306;95;25;549
Saúde;76.696;378;2.254;19.112;17.419;13.862;6.436;3.570;3.548;2.678;2.227;868;899;3.445
Sé;99.690;99;2.650;19.666;20.030;15.135;8.581;5.699;8.278;6.629;4.672;1.799;2.240;4.212
Socorro;36.631;57;331;4.574;8.980;7.223;3.916;2.110;1.939;1.556;1.520;768;825;2.832
Tatuapé;102.766;287;2.960;32.748;23.606;16.966;7.245;4.928;4.325;2.554;1.417;433;353;4.944
Tremembé;21.091;14;333;3.440;4.375;5.863;2.785;2.156;886;207;96;46;62;828
Tucuruvi;23.432;114;614;6.976;6.908;4.198;1.580;747;774;403;158;32;32;896
Vila Andrade;28.068;39;620;5.660;7.696;5.772;2.559;1.356;1.340;811;534;238;254;1.189
Vila Curuçá;10.407;38;232;3.720;3.034;2.286;517;156;82;31;13;0;6;292
Vila Formosa;48.288;168;2.239;11.274;7.922;8.506;4.144;2.829;3.055;2.387;1.687;861;1.144;2.072
Vila Guilherme;39.933;177;1.113;8.779;9.350;9.358;3.662;1.674;1.459;932;559;196;228;2.446
Vila Jacuí;12.452;16;414;3.055;3.650;3.016;942;353;259;217;210;56;59;205
Vila Leopoldina;71.655;331;1.852;11.851;13.175;14.416;6.988;4.580;5.629;3.735;3.407;1.089;1.388;3.214
Vila Maria;56.983;179;832;10.059;12.825;12.690;6.476;2.946;2.452;1.273;761;314;283;5.893
Vila Mariana;150.197;332;2.094;22.780;28.143;28.933;16.380;10.664;12.326;9.510;6.863;3.080;4.045;5.047
Vila Matilde;35.641;91;811;11.251;9.398;7.357;2.150;840;1.038;568;402;201;374;1.160
Vila Medeiros;17.652;38;473;6.775;4.206;3.249;1.076;473;331;193;106;22;52;658
Vila Prudente;35.755;151;1.598;10.221;8.488;7.123;2.635;1.229;1.183;693;315;83;68;1.968
Vila Sônia;34.914;79;714;8.001;8.715;7.901;3.295;1.534;1.412;828;600;277;232;1.326
